;Nom officiel du musée;Commune;Code Postal;Latitude;Longitude
156;musée du château;Torigni-sur-Vire;50160.0;49.03409882972262;-0.9787106672980048
157;musée municipal d'archéologie;L'Aigle;61300.0;48.764955;0.628791
158;musée départemental des arts et traditions populaires du Perche;Saint-Cyr-La-Rosière;61130.0;48.324387;0.656069
159;musée de la marine de Seine;Caudebec-en-Caux;76490.0;49.524671;0.72058
160;musée du prieuré;Harfleur;76700.0;49.507156;0.19911
161;muséum d'histoire naturelle;Le Havre;76600.0;49.487552;0.108231
162;musée des sapeurs pompiers de France;Montville;76710.0;49.546845;1.076136
163;musée industriel de la corderie Valois;Notre-Dame-de-Bondeville;76960.0;49.494507;1.048567
164;musée des antiquités de la Seine-Maritime;Rouen;76000.0;49.447268;1.098932
165;muséum d'histoire naturelle;Rouen;76000.0;49.447268;1.098932
166;musée de l'horlogerie;Saint-Nicolas-d'Aliermont;76510.0;49.879641;1.219788
167;musée d'Orbigny-Bernon;La Rochelle;17000.0;46.160752;-1.155429
168;musée du Présidial;Saintes;17100.0;45.746235;-0.632055
169;musée Dupuy-Mestreau;Saintes;17100.0;45.743294;-0.634076
170;musée municipal des cordeliers;Saint-Jean-d'Angély;17400.0;45.942607;-0.523425
171;musée Ernest Cognacq;Saint-Martin-de-Ré;17410.0;46.2055;-1.365288
172;musée des Tumulus;Bougon;79800.0;46.374565;-0.067433
173;musée Fernand Desmoulin;Brantôme;24310.0;45.364385;0.647127
174;musée-aquarium;Creysse;24100.0;44.854512;0.564759
175;musée Goupil;Bordeaux;33000.0;44.835543;-0.575205
176;musée municipal;Villandraut;33730.0;44.457512;-0.372793
177;musée départemental d'art contemporain;Rochechouart;87600.0;45.822521;0.820506
178;musée historique de l'hydravion;Biscarrosse;40600.0;44.388887;-1.182563
179;musée de Borda;Dax;40100.0;43.710655;-1.054061
180;musée Despiau-Wlérick;Mont-de-Marsan;40000.0;43.8926;-0.498893
181;musée municipal des beaux-arts;Agen;47000.0;44.202895;0.615471
182;muséum d'histoire naturelle;Bayonne;64109.0;43.49364187649409;-1.4751693306701943
183;musée béarnais;Pau;64400.0;43.18818;-0.604752
184;musée national du château de Pau;Pau;64000.0;43.294699;-0.374378
185;musée de la moto, de l'automobile et du vélo;Châtellerault;86100.0;46.81393;0.536238
186;musée municipal de l'hôtel de Sully;Châtellerault;86100.0;46.81393;0.536238
187;musée municipal;Civray;86400.0;46.147599;0.296434
188;musée du baptistère Saint-Jean;Poitiers;86000.0;46.580519;0.346104
189;musée d'archéologie;Montségur;9300.0;42.871095;1.832858
190;musée archéologique du Lauragais;Castelnaudary;11400.0;43.315299;1.959048
191;musée archéologique;Sallèles-d'Aude;11590.0;43.260661;2.942874
192;musée régional de géologie Pierre Vetter;Decazeville;12300.0;44.555515;2.266258
193;musée des mœurs et coutumes, musée du Rouergue;Espalion;12500.0;44.520841;2.760423
194;musée municipal;Roquefort-sur-Soulzon;12250.0;43.975103;2.991651
195;Carré d'art - musée d'art contemporain;Nîmes;30000.0;43.837904;4.35616
196;musée des Amériques - Auch;Auch;32000.0;43.647171;0.587482
197;musée archéologique;Eauze;32800.0;43.862193;0.101384
198;musée campanaire;L'Isle-Jourdain;32600.0;43.612852;1.08184
199;musée des beaux-arts et des arts décoratifs;Mirande;32300.0;43.515315;0.403452
200;musée du pays de Luchon;Bagnères-de-Luchon;31110.0;42.789494;0.592035
201;musée des Augustins;Toulouse;31000.0;43.600562;1.445904
202;musée Paul Dupuy;Toulouse;31000.0;43.596898;1.446935
203;musée de la vie quotidienne dans les Pyrénées;Bagnères-de-Bigorre;65200.0;43.065612;0.153699
204;musée de l'Ephèbe;Agde (Cap d'Agde);34300.0;43.298047;3.476702
205;musée municipal;Frontignan;34110.0;43.447077;3.755055
206;musée du Pic-Saint-Loup;Les Matelles;34270.0;43.731232;3.809872
207;musée languedocien;Montpellier;34000.0;43.609524;3.879151
208;musée Paul Valéry;Sète;34200.0;43.395512;3.691204
209;musée archéologique;Luzech;46140.0;44.479159;1.286317
210;musée de plein air du Quercy;Sauliac-sur-Célé (Cuzals);46330.0;44.533948;1.697872
211;écomusée du mont Lozère;Le Pont-de-Montvert;48220.0;44.36343;3.746499
212;musée du Castillet Casa Pairal;Perpignan;66000.0;42.727965;2.896696
213;musée d'archéologie sous-marine;Port-Vendres;66660.0;42.519619;3.107319
214;musée Charles Portal - Histoire et patrimoine;Cordes;81170.0;44.063752;1.94934
215;musée du protestantisme, de la Réforme à la laïcité;Ferrières;81260.0;43.661945;2.448167
216;musée des beaux-arts;Gaillac;81600.0;43.894286;1.901945
217;musée du vieil Auvillar;Auvillar;82340.0;44.070335;0.899472
218;musée du vignoble nantais;Le Pallet;44330.0;47.134414;-1.329883
219;musée du château des ducs de Bretagne;Nantes;44000.0;47.216353;-1.549389
220;musées du parc naturel régional de Brière;Saint-Joachim;44720.0;47.373699;-2.21367
221;musée d'art et d'histoire;Baugé;49150.0;47.531598;-0.119966
222;musée Jules-Desbois;Parçay-les-Pins;49390.0;47.436646;0.159508
223;musée archéologique départemental;Jublains;53160.0;48.255526;-0.496863
224;musée des sciences;Laval;53000.0;48.06597;-0.772148
225;musée du château;Mayenne;53100.0;48.302519;-0.620269
226;musée municipal;Château-du-Loir;72500.0;47.693176;0.417263
227;musée de Tessé;Le Mans;72000.0;48.01112;0.203755
228;musée espace faïence de Malicorne;Malicorne;72270.0;47.813698;-0.083896
229;centre de découverte du marais breton;La Barre-de-Monts;85550.0;46.874377;-2.102492
230;musée des traditions;La Guérinière;85680.0;46.966649;-2.231792
231;Historial de la Vendée;Les Lucs-Sur-Boulogne;85170.0;46.859966;-1.492724
232;musée de la construction navale artisanale;Noirmoutier-en-l'Île;85330.0;46.99903;-2.245756
233;musée du château;Noirmoutier-en-l'Île;85330.0;46.999718;-2.243127
234;musée d'archéologie;Antibes;6600.0;43.576824;7.124074
235;musée Renoir;Cagnes-sur-Mer;6800.0;43.667649;7.156541
236;musée des explorations du monde (MEM);Cannes;6400.0;43.551515;7.010034
237;musée Jean Cocteau;Menton;6500.0;43.774945;7.508676
238;musée archéologique de Cimiez;Nice;6000.0;43.719221;7.275115
239;musée d'art naïf Anatole Jakovsky;Nice;6200.0;43.68784;7.231462
240;musée des beaux-arts Jules Chéret;Nice;6364.0;43.69467562501604;7.249470499489079
241;musée Matisse;Nice;6000.0;43.720041;7.276769
242;cabinet des monnaies et médailles;Marseille;13001.0;43.295789;5.383313
243;musée des arts africains, océaniens, amérindiens;Marseille;13002.0;43.300172;5.367602
244;musée des Saintes-Maries-de-la-Mer;Saintes-Maries-de-la-Mer;13460.0;43.45124;4.427775
245;musée du pays brignolais;Brignoles;83170.0;43.404216;6.061427
246;musée de l'hôtel-Dieu;Cavaillon;84300.0;43.836985;5.037862
247;musée Jean Garcin 39-45 : l'appel de la liberté;Fontaine-de-Vaucluse;84800.0;43.922626;5.127397
248;musée municipal;Mazan;84380.0;44.056743;5.12788
249;musée archéologique Théo Desplans;Vaison-la-Romaine;84110.0;44.246355;5.072128
250;écomusée de l'Approuague;Régina;97338.0;5.16631994230844;-52.65043417217795
251;musée des arts décoratifs de l'Océan indien;Saint-Louis;97450.0;-21.26765;55.411839
252;musée du Père Pinchon;Fort-de-France;97200.0;14.649226;-61.070648
253;musée Frank A. Perret - mémorial de la catastrophe de 1902;Saint-Pierre-de-la-Martinique;97250.0;14.743103;-61.175994
254;musée Chintreuil;Pont-de-Vaux;1190.0;46.430076;4.938125
255;musée du bois;Seyssel;1420.0;45.959038;5.831489
256;musée Charles-Louis Philippe;Cérilly;3350.0;46.617913;2.823245
257;musée des musiques populaires (vieux château);Montluçon;3100.0;46.341009;2.605724
258;centre national du costume de scène et de la scénographie;Moulins-sur-Allier;3000.0;46.560973;3.335798
259;musée Saint-Marc;Souvigny;3210.0;46.534866;3.192356
260;musée de la terre ardéchoise;Privas;7000.0;44.735836;4.594922
261;musée d'art et d'archéologie;Aurillac;15000.0;44.925394;2.441947
262;musée d'art sacré;Mours-Saint-Eusèbe;26540.0;45.07091;5.052549
263;musée de la chaussure;Romans;26100.0;45.0431;5.055376
264;musée du site préhistorique;Vassieux-en-Vercors;26420.0;44.865703;5.357302
265;musée-château;Annecy;74000.0;45.897263;6.124916
266;musée Hector Berlioz;La Côte-Saint-André;38260.0;45.393386;5.261189
267;musée de la Grande Chartreuse;Saint-Pierre-de-Chartreuse;38380.0;45.341728;5.814737
268;musée du cloître Saint-André-le-Bas;Vienne;38200.0;45.526967;4.873538
269;musée départemental de la Révolution française;Vizille;38220.0;45.08753;5.773234
270;musée Alice Taverne;Ambierle;42820.0;46.105434;3.896167
271;musée de la soierie;Charlieu;42190.0;46.160301;4.17052
272;musée de Feurs;Feurs;42110.0;45.744191;4.219803
273;musée de la Diana;Montbrison;42600.0;45.60543;4.066822
274;musée Joseph Déchelette;Roanne;42300.0;46.034953;4.069842
275;musée Bargoin;Clermont-Ferrand;63000.0;45.774229;3.0869
276;musée des pénitents blancs;Marsac-en-Livradois;63940.0;45.478967;3.728534
277;musée paléontologique;Menat;63560.0;46.103652;2.904431
278;musée municipal;Murol;63790.0;45.590429;2.921508
279;centre d'histoire de la résistance;Lyon;69007.0;45.747037;4.835797
280;musée de l'imprimerie et de la communication graphique;Lyon;69002.0;45.764219;4.834752
281;musée des beaux-arts;Lyon;69001.0;45.767177;4.833576
282;muséum d'histoire naturelle;Lyon;69002.0;45.73319;4.818042
283;écomusée du Haut Beaujolais;Marnand;69240.0;46.037849;4.315548
284;musée Henri Malartre;Rochetaille-sur-Saône;69270.0;45.84492;4.837207
285;musée archéologique et minéralogique Pierre Borrione;Aime-en-Tarentaise;73210.0;45.559416;6.651415
286;musée Savoisien;Chambéry;73000.0;45.571174;5.875158
287;musée Bonaparte;Auxonne;21130.0;47.190963;5.383768
288;musée archéologique;Dijon;21000.0;47.321873;5.034107
289;musée des beaux-arts et d'archéologie;Besançon;25000.0;47.240055;6.022938
290;musée du temps;Besançon;25000.0;47.235978;6.0268
291;musée Beurnier-Rossel;Montbéliard;25200.0;47.509957;6.797684
292;musée municipal;Pontarlier;25300.0;46.904221;6.354581
293;musée de beaux-arts;Saint-Claude;39200.0;46.386209;5.865239
294;musée de la faïence Frédéric Blandin;Nevers;58000.0;46.98629;3.155037
295;musée Verger-Tarin;Autun;71400.0;46.949043;4.302971
296;muséum d'histoire naturelle;Autun;71400.0;46.947996;4.301812
297;musée bourguignon Perrin de Puycousin;Tournus;71700.0;46.562137;4.910839
298;musée d'art et d'histoire Saint-Germain;Auxerre;89000.0;47.800283;3.571975
299;musée de l'Avallonnais Jean Després;Avallon;89200.0;47.486968;3.906795
300;musée Colette;Saint-Sauveur-en-Puisaye;89520.0;47.618015;3.197026
301;musée d'art et d'histoire de Puisaye;Villiers-Saint-Benoît;89130.0;47.780142;3.20739
302;écomusée de l'île de Groix;Groix;56590.0;47.63992;-3.434074
303;musée du Faouët;Le Faouët;56320.0;48.031817;-3.490833
304;musée d'histoire et d'archéologie;Vannes;56000.0;47.656705;-2.757726
305;muséum d'histoire naturelle Gabriel Foucher;Bourges;18000.0;47.081055;2.392284
306;musée du château Charles VII;Mehun-sur-Yèvre;18500.0;47.145214;2.21738
307;musée de la chemiserie et de l'élégance masculine;Argenton-sur-Creuse;36200.0;46.58847;1.518517
308;château musée;Azay-le-Ferron;36290.0;46.851361;1.069524
309;musée ornithologique;Le Blanc;36300.0;46.627962;1.062835
310;Le Carroi, musée d'arts et d'histoire;Chinon;37500.0;47.167125;0.23767
311;musée Descartes;Descartes;37160.0;46.972623;0.699988
312;musée départemental de préhistoire;Le Grand Pressigny;37350.0;46.921003;0.800711
313;musée Rabelais;Seuilly;37500.0;47.140806;0.179096
314;musée de la marine de Loire;Châteauneuf-sur-Loire;45110.0;47.865212;2.219187
315;musée d'art et d'archéologie;Châtillon-Coligny;45230.0;47.820625;2.844906
316;musée du Gâtinais;Montargis;45200.0;47.998314;2.729233
317;musée Girodet;Montargis;45200.0;47.997528;2.737205
318;hôtel Cabu, musée d'histoire et d'archéologie;Orléans;45000.0;47.900952;1.905193
319;musée archéologique;Thésée;41140.0;47.3284903864584;1.306555055404134
320;musée municipal;Bar-sur-Aube;10200.0;48.233206;4.705996
321;maison de l'outil et de la pensée ouvrière;Troyes;10000.0;48.29473;4.072849
322;musée historique;Haguenau;67500.0;48.812831;7.791481
323;musée de l'image populaire;Pfaffenhoffen;67350.0;48.844834;7.611365
324;musée alsacien;Strasbourg;67000.0;48.579075;7.750484
325;musée de l'Œuvre Notre-Dame;Strasbourg;67076.0;48.58097;7.75151
326;musée Tomi Ungerer;Strasbourg;67000.0;48.585747;7.755028
327;musée Oberlin;Waldersbach;67130.0;48.414759;7.214925
328;musée Lalique;Wingen-sur-Moder;67290.0;48.927033;7.361922
329;musée Westercamp;Wissembourg;67160.0;49.038815;7.944344
330;musée municipal;Bourbonne-les-Bains;52400.0;47.942274;5.732204
331;musée d'art et d'histoire;Langres;52200.0;47.865268;5.333286
332;musée municipal;Saint-Dizier;52115.0;48.63804122933198;4.948277733396815
333;musée du vignoble et des vins d'Alsace;Kientzheim;68770.0;48.126069;7.280128
334;"musée de la société d'histoire ""les amis de Thann""";Thann;68800.0;47.812283;7.101737
335;musée du cloître de Notre-Dame-en-Vaux;Châlons-en-Champagne;51000.0;48.956391;4.364203
336;musée des beaux-arts de Reims;Reims;51100.0;49.253442;4.030921
337;musée-hôtel Le Vergeur – maison Hugues Krafft;Reims;51100.0;49.257013;4.034043
338;musée de l'Argonne Viard-Morel;Sainte-Menehould;51800.0;49.092086;4.897997
339;Féru des sciences;Jarville-la-Malgrange;54140.0;48.666588;6.208769
340;château de Montaigu;Laneuville-devant-Nancy;54410.0;48.665792;6.215554
341;musée du château;Lunéville;54300.0;48.589446;6.505708
342;musée des beaux-arts;Nancy;54000.0;48.693507;6.182435
343;musée historique lorrain;Nancy;54000.0;48.697316;6.179154
344;musée d'art sacré de la Meuse;Saint-Mihiel;55300.0;48.88855;5.541165
345;musée de la Princerie;Verdun;55100.0;49.161059;5.382439
346;musée des mines de fer de Lorraine;Neufchef (Hayange);57700.0;49.325904;6.027572
347;musée de la faïence et des techniques faïencières;Sarreguemines;57200.0;49.109069;7.070473
348;musée départemental Georges de la Tour;Vic-sur-Seille;57630.0;48.781787;6.531429
349;musée de l'image;Epinal;88000.0;48.183628;6.445992
350;musée Charles Friry;Remiremont;88200.0;48.015174;6.590031
351;musée bibliothèque;Chauny;2300.0;49.615394;3.216814
352;Familistère de Guise;Guise;2120.0;49.903647;3.626529
353;musée des beaux-arts Antoine Lécuyer;Saint-Quentin;2100.0;49.849891;3.285398
354;musée entomologique;Saint-Quentin;2100.0;49.84595;3.288944
355;musée de la résistance et de la déportation;Tergnier;2700.0;49.65875;3.315011
356;musée d'histoire et d'archéologie;Avesnes-sur-Helpe;59440.0;50.12356;3.924751
357;musée d'archéologie et d'histoire locale;Denain;59220.0;50.327614;3.400973
358;musée maritime et portuaire;Dunkerque;59140.0;51.037914;2.372174
359;centre historique minier, musée de la mine, centre d'archives, centre de culture scientifique de l'énergie;Lewarde;59287.0;50.336033;3.168419
360;musée de l'hospice Comtesse;Lille;59800.0;50.641053;3.06294
361;La Piscine - musée d'art et d'industrie André Diligent de Roubaix;Roubaix;59100.0;50.693026;3.16791
362;musée Antoine Vivenel;Compiègne;60200.0;49.417414;2.821526
363;musée national du château de Compiègne;Compiègne;60200.0;49.41943864456635;2.831490934564086
364;musée de la nacre et de la tabletterie;Méru;60110.0;49.238327;2.139609
365;musée du Noyonnais;Noyon;60400.0;49.581852;2.999742
366;musée des beaux-arts;Arras;62000.0;50.291759;2.772987
367;musée des beaux-arts et de la dentelle;Calais;62100.0;50.956724;1.851871
368;musée d'art et d'histoire Roger Rodière;Montreuil-sur-Mer;62170.0;50.462947;1.763832
369;musée de l'hôtel de Berny;Amiens;80000.0;49.892882;2.302463
370;musée Dunoyer de Segonzac;Boussy-Saint-Antoine;91800.0;48.688925;2.530019
371;musée du château;Dourdan;91410.0;48.529685;2.011803
372;musée municipal d'art et d'histoire;Colombes;92700.0;48.923321;2.252039
373;musée des travaux publics;Courbevoie;92974.0;48.89817715987157;2.2579850008669635
374;musée du domaine départemental de Sceaux;Sceaux;92330.0;48.774707;2.299024
375;musée Bourdelle;Paris;75015.0;48.843017;2.31883
376;musée d'art moderne de la ville de Paris;Paris;75116.0;48.864603220958784;2.29843234195393
377;musée du Quai Branly - Jacques Chirac;Paris;75007.0;48.861511;2.29771
378;musée d'Ennery;Paris;75116.0;48.871845;2.281997
379;musée de la musique;Paris;75019.0;48.889306;2.393807
380;musée de la chasse et de la nature;Paris;75003.0;48.861491;2.358608
381;musée Picasso;Paris;75003.0;48.8597;2.362644
382;musée de l'armée;Paris;75007.0;48.858219;2.312885
383;musée Nissim de Camondo (Union centrale des arts décoratifs);Paris;75008.0;48.878849;2.312855
384;musée Gustave Moreau;Paris;75009.0;48.877878;2.334383
385;musée de la Gendarmerie;Melun;77000.0;48.54648;2.651583
386;écomusée;Savigny-le-Temple;77176.0;48.599142;2.570872
387;musée d'histoire et de société;Gonesse;95500.0;2.449718782248399;48.98651569144933
388;musée de la ville;Montigny-le-Bretonneux;78180.0;48.782594;2.042664
389;mémorial de Caen, un musée pour la paix;Caen;14066.0;49.19751133869485;-0.3838400268165697
390;musée de Normandie;Caen;14000.0;49.162048;-0.34514
391;musée des beaux-arts;Caen;14000.0;49.18615122825814;-0.361223819411571
392;musée d'ethnographie et d'arts populaires et musée de la marine;Honfleur;14600.0;49.419863;0.233625
393;musée Eugène Boudin;Honfleur;14602.0;49.42241758787357;0.2308667345641918
394;musée de la mine;Le Molay-Littry;14330.0;49.243172;-0.877058
395;musée du verre François Décorchemont;Conches-en-Ouche;27190.0;48.955254;0.935945
396;musée Alfred Canel;Pont-Audemer;27500.0;49.356747;0.515774
397;musée de la Libération;Cherbourg;50100.0;49.630736;-1.616324
398;musée Quesnel-Morinière;Coutances;50200.0;49.047263;-1.446668
399;musée Richard Anacréon;Granville;50400.0;48.838549;-1.600543
400;musée du prieuré de Graville;Le Havre;76600.0;49.503006;0.168325
401;musée Malraux;Le Havre;76600.0;49.484796;0.102188
402;musée des traditions et arts normands;Martainville-Epreville;76116.0;49.460211;1.292253
403;Ethnothèque, Musée des Boucles de la Seine Normande;Notre-Dame-de-Bliquetuit;76940.0;49.497518;0.757352
404;musée Pierre Corneille;Petit-Couronne;76650.0;49.389368;1.0216
405;musée Le Secq des Tournelles;Rouen;76000.0;49.445148;1.094521
406;musée régional;Fouras;17450.0;45.98600616496263;-1.0969227906624868
407;musée napoléonien et musée africain (annexes du musée national des châteaux de Malmaison et de Bois Préau);Île-d'Aix;17123.0;46.011577;-1.176477
408;musée des beaux-arts;La Rochelle;17000.0;46.161969;-1.151552
409;musée du nouveau monde;La Rochelle;17000.0;46.161435;-1.151157
410;muséum d'histoire naturelle et d'ethnographie;La Rochelle;17000.0;46.164822;-1.151488
411;musée du président Jacques Chirac;Sarran;19800.0;45.407742;1.940079
412;musée de la mémoire et des industries tullistes;Tulle;19000.0;45.260441;1.751522
413;musée du pays d'Ussel;Ussel;19208.0;45.54705996603325;2.308435548614703
414;musée départemental de la tapisserie;Aubusson;23200.0;45.954471;2.169905
415;musée du tabac;Bergerac;24100.0;44.84976;0.483469
416;château de Bourdeilles;Bourdeilles;24310.0;45.321359;0.586014
417;musée de Sarlat et du Périgord noir;Sarlat;24206.0;44.89456376265919;1.2330483275891506
418;musée municipal;Villefranche-de-Lonchat;24610.0;44.94827;0.056581
419;musée de la Création Franche;Bègles;33130.0;44.80598303387724;-0.5434896909627212
420;CAPC - musée d'art contemporain;Bordeaux;33000.0;44.848186;-0.572137
421;musée d'Aquitaine;Bordeaux;33000.0;44.835543;-0.575205
422;musée de la voiture à cheval. Au temps des calèches;Bourg-sur-Gironde;33710.0;45.039017;-0.55971
423;musée des beaux-arts de Limoges - Palais de l'évêché;Limoges;87000.0;45.828784;1.265445
424;musée & jardins Cécile Sabourdy;Vicq-sur-Breuilh;87260.0;45.64661918081148;1.3822826090754192
425;atelier-musée;Luxey;40430.0;44.262826;-0.520865
426;musée départemental de la Faïence et des Arts de la table;Samadet;40320.0;43.641006;-0.510832
427;musée Bonnat - Helleu, musée des beaux-arts de Bayonne;Bayonne;64100.0;43.492108;-1.472299
428;musée Bernadotte;Pau;64000.0;43.297209;-0.372526
429;musée des beaux-arts;Pau;64000.0;43.297254;-0.364384
430;musée de la Préhistoire Raymond Touchard;Lussac-les-Châteaux;86320.0;46.403482;0.725666
431;musée d'art et d'histoire de Montmorillon;Montmorillon;86500.0;46.428227;0.872962
432;musée de l'hypogée des Dunes;Poitiers;86000.0;46.575749;0.359509
433;musée Rupert de Chièvres;Poitiers;86000.0;46.580602;0.337972
434;musée départemental de l'Ariège;Foix;9000.0;42.965864;1.6053
435;musée de la forge;Montgailhard;9330.0;42.940925;1.630459
436;musée du palais des évêques;Saint-Lizier;9190.0;43.001452;1.143469
437;Palais-musée des Archevêques de Narbonne;Narbonne;11108.0;43.184165346978;3.00427053368551
